grade,subject_fa,grade_fa,file,size_bytes,source_url,maktab93_page
2,"ریاضی","صنف دوم","Grade-02/G2-Dr-Math.pdf",4914765,"https://drive.usercontent.google.com/download?id=11-MiTfxhPYEN2pZQHnmf1VE2HIvJHGOz&export=download","https://www.maktab93.com/download.php?id=103"
2,"مهارت‌ها","صنف دوم","Grade-02/G2-Dr-Life_skill.pdf",26994354,"https://drive.usercontent.google.com/download?id=1eFnErT7aijekCEwvhEXWrMdYjxDWfHOI&export=download","https://www.maktab93.com/download.php?id=104"
2,"هنررسامی","صنف دوم","Grade-02/G2-Dr-Art.pdf",19498841,"https://drive.usercontent.google.com/download?id=1ZrMb2h4hZUlKCcvyRspJXll7JSaqlqZj&export=download","https://www.maktab93.com/download.php?id=105"
2,"حسن‌خط","صنف دوم","Grade-02/G2-Dr-Hand_Writing.pdf",9031977,"https://drive.usercontent.google.com/download?id=1aED43jj--nDorRfzwJefg3h-kgFr-pzD&export=download","https://www.maktab93.com/download.php?id=106"
2,"دری","صنف دوم","Grade-02/G2-Dr-Dari_compressed.pdf",6436993,"https://drive.usercontent.google.com/download?id=1ss-cgdYS4TKvMrc3kKHWAk7XmZl9yvd1&export=download","https://www.maktab93.com/download.php?id=107"
2,"قرآن‌کریم","صنف دوم","Grade-02/G2-Dr-Quran.pdf",6104262,"https://drive.usercontent.google.com/download?id=1Y0j0qd1KHvl3ubAzwF4FnPYw9yao7ohv&export=download","https://www.maktab93.com/download.php?id=108"
1,"علوم دینی ح","صنف اول","Grade-01/G1-Dr-Islamic_Study_Hanafi.pdf",12234491,"https://drive.usercontent.google.com/download?id=1doPSElu-4jBtrY6-9cTF4Cx4DpkXtouL&export=download","https://www.maktab93.com/download.php?id=93"
1,"علوم دینی ج","صنف اول","Grade-01/G1-Dr-Islamic_Study_Jafari.pdf",13727244,"https://drive.usercontent.google.com/download?id=1Rjj9ATJ04YoWpwd2qS5y7DtuxYEUHR_f&export=download","https://www.maktab93.com/download.php?id=94"
1,"ریاضی","صنف اول","Grade-01/G1-Dr-Math.pdf",10061565,"https://drive.usercontent.google.com/download?id=18ULTaQq-TtiD2DcmSl5DTS5xnAaa1eqv&export=download","https://www.maktab93.com/download.php?id=95"
1,"مهارت‌ها","صنف اول","Grade-01/G1-Dr-Life_Skill.pdf",12840404,"https://drive.usercontent.google.com/download?id=1W0E8E65Tk2n-tPmxWKvnpVB32xwlzG1T&export=download","https://www.maktab93.com/download.php?id=96"
1,"هنررسامی","صنف اول","Grade-01/G1-Dr-Art.pdf",14515810,"https://drive.usercontent.google.com/download?id=1GJ9DX4gdXITzEY0Sbm_pNOgu1f3tbkmh&export=download","https://www.maktab93.com/download.php?id=97"
1,"حسن‌خط","صنف اول","Grade-01/G1-Dr-Hand_Writing.pdf",5418867,"https://drive.usercontent.google.com/download?id=1UTCR5MVAEonm6KGQ-sY3M4W_nYyZ9N3v&export=download","https://www.maktab93.com/download.php?id=98"
1,"دری","صنف اول","Grade-01/G1-Dr-Dari.pdf",8862178,"https://drive.usercontent.google.com/download?id=1RMt_Az8_Mbeti9pTTlrayF85NhZetdSk&export=download","https://www.maktab93.com/download.php?id=99"
1,"قرآن‌کریم","صنف اول","Grade-01/G1-Dr-Quran.pdf",4376527,"https://drive.usercontent.google.com/download?id=17loHtNnolXNm0BfwKAVuze_YZxBoN0qg&export=download","https://www.maktab93.com/download.php?id=100"
kankor,"۱۲۸۲ سوال ریاضیات و هندسه - سوالات سالهای گذشته","کانکور","Kankor/maktab93.com-1282qMath.pdf",2953677,"https://drive.usercontent.google.com/download?id=10U8V2IsoI-bEtSu3o8QZQBwh-w_aeVSZ&export=download","https://www.maktab93.com/download.php?id=242"
kankor,"کتاب فزیک صنف ۷ الی ۱۲ - کتاب کانکوری","کانکور","Kankor/physicsbook7-12.pdf",4601661,"https://drive.usercontent.google.com/download?id=15oew-dGtq8tWtWqxGL3sw0s2I6L1gA5k&export=download","https://www.maktab93.com/download.php?id=244"
kankor,"کتاب فورمولر هندسه - کتاب کانکوری","کانکور","Kankor/maktab93.com-Geometry-Formulas.pdf",854410,"https://drive.usercontent.google.com/download?id=1Q0eR2IBiY7H12iljy-d44mVInbCaUWXe&export=download","https://www.maktab93.com/download.php?id=245"
kankor,"کتاب فورمولر ریاضی - کتاب کانکوری","کانکور","Kankor/maktab93.com-mathematics-formulas.pdf",230621,"https://drive.usercontent.google.com/download?id=13Aa2FIGWlUtj7M_c7SqPa3xQu4sZH2pY&export=download","https://www.maktab93.com/download.php?id=246"
kankor,"کتاب فورمولر مثلثات - کتاب کانکوری","کانکور","Kankor/maktab93.com-Trigonometry-Formulas.pdf",342869,"https://drive.usercontent.google.com/download?id=1BDv-Z3TXDwaU9kSWhmhmZFSajUp8qBE1&export=download","https://www.maktab93.com/download.php?id=247"
